_RAJ2000,_DEJ2000,Hmag,e_Hmag
308.612231,60.057602,11.212,0.030
308.658077,60.058563,15.550,0.136
308.675358,60.059135,14.796,0.067
308.625410,60.057251,15.074,0.073
308.723282,60.059071,13.283,0.037
308.723136,60.061916,14.704,0.068
308.701317,60.061008,16.329,
308.471825,60.114956,15.868,0.160
308.488191,60.089821,13.678,0.038
308.496293,60.097912,12.227,0.033
308.479067,60.099541,15.800,0.167
308.469074,60.117188,16.112,0.204
308.457827,60.106426,16.160,0.222
308.453306,60.121922,15.877,
308.495631,60.103592,14.646,0.058
308.494987,60.124069,15.144,0.096
308.488562,60.101990,14.458,0.068
308.466858,60.115185,15.982,0.183
308.475781,60.103710,14.215,0.054
308.490551,60.112659,13.660,0.033
308.490775,60.102566,15.405,0.115
308.493521,60.117111,16.010,
308.498526,60.120815,11.394,0.032
308.545743,60.099190,15.934,0.183
308.540089,60.098709,15.578,
308.535848,60.084717,15.965,0.176
308.547523,60.092907,14.041,0.046
308.536387,60.121117,14.811,0.063
308.550324,60.074566,12.121,0.030
308.561648,60.095520,15.288,0.104
308.557425,60.107613,12.135,0.038
308.551923,60.104725,16.042,
308.553783,60.090412,15.878,0.185
308.540853,60.117088,14.377,0.059
308.553412,60.082619,11.563,0.045
308.545106,60.109150,15.916,0.183
308.549815,60.068165,16.097,0.233
308.503109,60.082848,15.569,0.141
308.538856,60.101582,15.352,0.126
308.510523,60.085270,13.270,0.034
308.513238,60.121902,13.399,0.036
308.506951,60.105881,16.100,0.224
308.540589,60.108246,16.611,0.378
308.526770,60.107895,15.464,0.116
308.518640,60.095264,16.072,0.210
308.530521,60.104454,15.901,
308.535508,60.113014,14.975,0.074
308.617224,60.108315,15.606,
308.615899,60.098389,15.092,0.086
308.598112,60.073826,15.461,0.127
